No,Customer,Age,City,Product,Limit,Company,Segment
1,A1,76,BANGALORE,Gold,500000,C1,Self Employed
2,A2,71,CALCUTTA,Silver,100000,C2,Salaried_MNC
3,A3,34,COCHIN,Platinum,10000,C3,Salaried_Pvt
4,A4,47,BOMBAY,Platinum,10001,C4,Govt
5,A5,56,BANGALORE,Platinum,10002,C5,Normal Salary
6,A6,70,DELHI,Silver,100000,C6,Self Employed
7,A7,26,COCHIN,Silver,100001,C7,Salaried_MNC
8,A8,67,PATNA,Silver,100002,C8,Salaried_Pvt
9,A9,79,CHENNAI,Silver,100003,C9,Govt
10,A10,54,CALCUTTA,Gold,500000,C10,Normal Salary
11,A11,35,COCHIN,Gold,500000,C11,Normal Salary
12,A12,51,BOMBAY,Gold,500000,C12,Self Employed
13,A13,29,BANGALORE,Gold,500000,C13,Salaried_MNC
14,A14,16,BANGALORE,Gold,500000,C14,Salaried_Pvt
15,A15,25,CALCUTTA,Gold,500000,C15,Govt
16,A16,52,COCHIN,Gold,500000,C16,Normal Salary
17,A17,78,BOMBAY,Gold,500000,C17,Self Employed
18,A18,34,BANGALORE,Silver,100000,C18,Salaried_MNC
19,A19,27,BANGALORE,Platinum,10000,C19,Salaried_Pvt
20,A20,27,CALCUTTA,Platinum,10001,C20,Govt
21,A21,57,COCHIN,Platinum,10002,C21,Normal Salary
22,A22,27,BOMBAY,Silver,100000,C22,Self Employed
23,A23,51,BANGALORE,Silver,100001,C5,Salaried_MNC
24,A24,53,DELHI,Silver,100002,C6,Salaried_Pvt
25,A25,35,COCHIN,Silver,100003,C7,Govt
26,A26,38,PATNA,Gold,500000,C8,Normal Salary
27,A27,24,CHENNAI,Gold,500000,C9,Self Employed
28,A28,36,TRIVANDRUM,Gold,500000,C10,Salaried_MNC
29,A29,72,CALCUTTA,Gold,500000,C11,Salaried_Pvt
30,A30,25,BANGALORE,Gold,500000,C12,Govt
31,A31,63,CALCUTTA,Gold,500000,C13,Normal Salary
32,A32,41,COCHIN,Gold,500000,C14,Self Employed
33,A33,19,BOMBAY,Platinum,10002,C15,Salaried_MNC
34,A34,34,CALCUTTA,Platinum,100000,C16,Salaried_Pvt
35,A35,55,COCHIN,Platinum,100001,C17,Govt
36,A36,60,BOMBAY,Platinum,100002,C18,Normal Salary
37,A37,61,BANGALORE,Platinum,100003,C19,Normal Salary
38,A38,47,CHENNAI,Platinum,500000,C20,Self Employed
39,A39,78,TRIVANDRUM,Platinum,500000,C21,Salaried_MNC
40,A40,37,CALCUTTA,Platinum,500000,C22,Salaried_Pvt
41,A41,13,COCHIN,Platinum,500000,C23,Govt
42,A42,50,BOMBAY,Gold,500000,C24,Normal Salary
43,A43,21,BANGALORE,Gold,500000,C25,Self Employed
44,A44,28,DELHI,Gold,500000,C6,Salaried_MNC
45,A45,67,COCHIN,Gold,500000,C7,Salaried_Pvt
46,A46,49,PATNA,Silver,100000,C8,Govt
47,A47,28,CHENNAI,Platinum,10000,C9,Normal Salary
48,A48,42,TRIVANDRUM,Platinum,10001,C10,Self Employed
49,A49,39,CALCUTTA,Platinum,10002,C11,Salaried_MNC
50,A50,69,COCHIN,Platinum,100000,C12,Salaried_Pvt
51,A51,59,BOMBAY,Platinum,100001,C13,Govt
52,A52,50,BANGALORE,Platinum,100002,C14,Normal Salary
53,A53,21,DELHI,Platinum,100003,C15,Normal Salary
54,A54,46,COCHIN,Platinum,500000,C16,Normal Salary
55,A55,43,PATNA,Platinum,500000,C17,Normal Salary
56,A56,60,CHENNAI,Platinum,500000,C18,Normal Salary
57,A57,37,TRIVANDRUM,Silver,100001,C19,Normal Salary
58,A58,32,CALCUTTA,Silver,100002,C20,Normal Salary
59,A59,74,BANGALORE,Silver,100003,C21,Normal Salary
60,A60,28,CALCUTTA,Gold,500000,C22,Salaried_Pvt
61,A61,44,COCHIN,Gold,500000,C23,Govt
62,A62,39,BOMBAY,Gold,500000,C24,Normal Salary
63,A63,15,BANGALORE,Gold,500000,C25,Self Employed
64,A64,77,DELHI,Gold,500000,C26,Salaried_MNC
65,A65,41,COCHIN,Gold,500000,C27,Salaried_Pvt
66,A66,77,PATNA,Gold,500000,C28,Govt
67,A67,54,CHENNAI,Gold,500000,C29,Normal Salary
68,A68,12,TRIVANDRUM,Silver,100000,C30,Self Employed
69,A69,33,CALCUTTA,Platinum,10000,C31,Self Employed
70,A70,16,BOMBAY,Platinum,10001,C32,Self Employed
71,A71,34,BOMBAY,Platinum,10002,C33,Self Employed
72,A72,63,BANGALORE,Silver,100000,C34,Self Employed
73,A73,75,CALCUTTA,Silver,100001,C35,Self Employed
74,A74,51,COCHIN,Silver,100002,C36,Self Employed
75,A75,36,BOMBAY,Silver,100003,C37,Self Employed
76,A76,66,BANGALORE,Silver,500000,C38,Self Employed
77,A77,35,BANGALORE,Silver,500000,C39,Self Employed
78,A78,71,CALCUTTA,Silver,500000,C40,Self Employed
79,A79,60,COCHIN,Silver,500000,C41,Govt
80,A80,39,BOMBAY,Silver,500000,C3,Govt
81,A81,65,BANGALORE,Gold,500000,C4,Govt
82,A82,52,DELHI,Gold,500000,C5,Govt
83,A83,37,COCHIN,Platinum,10002,C6,Govt
84,A84,70,PATNA,Silver,100000,C7,Govt
85,A85,59,CHENNAI,Silver,100001,C8,Govt
86,A86,25,TRIVANDRUM,Silver,100002,C9,Govt
87,A87,27,CALCUTTA,Silver,100003,C10,Govt
88,A88,63,BANGALORE,Gold,500000,C11,Govt
89,A89,72,CALCUTTA,Gold,500000,C12,Govt
90,A90,16,COCHIN,Gold,500000,C13,Govt
91,A91,41,BOMBAY,Gold,500000,C14,Govt
92,A92,78,BANGALORE,Gold,500000,C15,Govt
93,A93,56,DELHI,Gold,500000,C16,Govt
94,A94,31,COCHIN,Gold,500000,C17,Govt
95,A95,62,PATNA,Gold,500000,C18,Salaried_MNC
96,A96,54,CHENNAI,Silver,100000,C19,Salaried_Pvt
97,A97,58,TRIVANDRUM,Platinum,10000,C20,Govt
98,A98,51,CALCUTTA,Platinum,10001,C21,Normal Salary
99,A99,35,CALCUTTA,Platinum,10002,C22,Self Employed
100,A100,36,COCHIN,Silver,100000,C5,Salaried_MNC
